station,hour,minute,day_of_week,predicted_bikes
41 - Instituto de Artes,11,0,Sexta,8
41 - Instituto de Artes,11,0,Sábado,8
41 - Instituto de Artes,11,0,Domingo,8
41 - Instituto de Artes,11,15,Segunda,8
41 - Instituto de Artes,11,15,Terça,8
41 - Instituto de Artes,11,15,Quarta,8
41 - Instituto de Artes,11,15,Quinta,8
41 - Instituto de Artes,11,15,Sexta,8
41 - Instituto de Artes,11,15,Sábado,8
41 - Instituto de Artes,11,15,Domingo,8
41 - Instituto de Artes,11,30,Segunda,13
41 - Instituto de Artes,11,30,Terça,13
41 - Instituto de Artes,11,30,Quarta,13
41 - Instituto de Artes,11,30,Quinta,13
41 - Instituto de Artes,11,30,Sexta,13
41 - Instituto de Artes,11,30,Sábado,13
41 - Instituto de Artes,11,30,Domingo,13
41 - Instituto de Artes,11,45,Segunda,14
41 - Instituto de Artes,11,45,Terça,14
41 - Instituto de Artes,11,45,Quarta,14
41 - Instituto de Artes,11,45,Quinta,14
41 - Instituto de Artes,11,45,Sexta,14
41 - Instituto de Artes,11,45,Sábado,14
41 - Instituto de Artes,11,45,Domingo,14
41 - Instituto de Artes,12,0,Segunda,9
41 - Instituto de Artes,12,0,Terça,9
41 - Instituto de Artes,12,0,Quarta,9
41 - Instituto de Artes,12,0,Quinta,9
41 - Instituto de Artes,12,0,Sexta,9
41 - Instituto de Artes,12,0,Sábado,9
41 - Instituto de Artes,12,0,Domingo,9
41 - Instituto de Artes,12,15,Segunda,5
41 - Instituto de Artes,12,15,Terça,5
41 - Instituto de Artes,12,15,Quarta,5
41 - Instituto de Artes,12,15,Quinta,5
41 - Instituto de Artes,12,15,Sexta,5
41 - Instituto de Artes,12,15,Sábado,5
41 - Instituto de Artes,12,15,Domingo,5
41 - Instituto de Artes,12,30,Segunda,2
41 - Instituto de Artes,12,30,Terça,2
41 - Instituto de Artes,12,30,Quarta,2
41 - Instituto de Artes,12,30,Quinta,2
41 - Instituto de Artes,12,30,Sexta,2
41 - Instituto de Artes,12,30,Sábado,2
41 - Instituto de Artes,12,30,Domingo,2
41 - Instituto de Artes,12,45,Segunda,2
41 - Instituto de Artes,12,45,Terça,2
41 - Instituto de Artes,12,45,Quarta,2
41 - Instituto de Artes,12,45,Quinta,2
41 - Instituto de Artes,12,45,Sexta,2
41 - Instituto de Artes,12,45,Sábado,2
41 - Instituto de Artes,12,45,Domingo,2
41 - Instituto de Artes,13,0,Segunda,9
41 - Instituto de Artes,13,0,Terça,9
41 - Instituto de Artes,13,0,Quarta,9
41 - Instituto de Artes,13,0,Quinta,9
41 - Instituto de Artes,13,0,Sexta,9
41 - Instituto de Artes,13,0,Sábado,9
41 - Instituto de Artes,13,0,Domingo,9
41 - Instituto de Artes,13,15,Segunda,5
41 - Instituto de Artes,13,15,Terça,5
41 - Instituto de Artes,13,15,Quarta,5
41 - Instituto de Artes,13,15,Quinta,5
41 - Instituto de Artes,13,15,Sexta,5
41 - Instituto de Artes,13,15,Sábado,5
41 - Instituto de Artes,13,15,Domingo,5
41 - Instituto de Artes,13,30,Segunda,2
41 - Instituto de Artes,13,30,Terça,2
41 - Instituto de Artes,13,30,Quarta,2
41 - Instituto de Artes,13,30,Quinta,2
41 - Instituto de Artes,13,30,Sexta,2
41 - Instituto de Artes,13,30,Sábado,2
41 - Instituto de Artes,13,30,Domingo,2
41 - Instituto de Artes,13,45,Segunda,2
41 - Instituto de Artes,13,45,Terça,2
41 - Instituto de Artes,13,45,Quarta,2
41 - Instituto de Artes,13,45,Quinta,2
41 - Instituto de Artes,13,45,Sexta,2
41 - Instituto de Artes,13,45,Sábado,2
41 - Instituto de Artes,13,45,Domingo,2
41 - Instituto de Artes,14,0,Segunda,9
41 - Instituto de Artes,14,0,Terça,9
41 - Instituto de Artes,14,0,Quarta,9
41 - Instituto de Artes,14,0,Quinta,9
41 - Instituto de Artes,14,0,Sexta,9
41 - Instituto de Artes,14,0,Sábado,9
41 - Instituto de Artes,14,0,Domingo,9
41 - Instituto de Artes,14,15,Segunda,5
41 - Instituto de Artes,14,15,Terça,5
41 - Instituto de Artes,14,15,Quarta,5
41 - Instituto de Artes,14,15,Quinta,5
41 - Instituto de Artes,14,15,Sexta,5
41 - Instituto de Artes,14,15,Sábado,5
41 - Instituto de Artes,14,15,Domingo,5
41 - Instituto de Artes,14,30,Segunda,2
41 - Instituto de Artes,14,30,Terça,2
41 - Instituto de Artes,14,30,Quarta,2
41 - Instituto de Artes,14,30,Quinta,2
41 - Instituto de Artes,14,30,Sexta,2
41 - Instituto de Artes,14,30,Sábado,2
41 - Instituto de Artes,14,30,Domingo,2
41 - Instituto de Artes,14,45,Segunda,2
41 - Instituto de Artes,14,45,Terça,2
41 - Instituto de Artes,14,45,Quarta,2
41 - Instituto de Artes,14,45,Quinta,2
41 - Instituto de Artes,14,45,Sexta,2
41 - Instituto de Artes,14,45,Sábado,2
41 - Instituto de Artes,14,45,Domingo,2
41 - Instituto de Artes,15,0,Segunda,9
41 - Instituto de Artes,15,0,Terça,9
41 - Instituto de Artes,15,0,Quarta,9
41 - Instituto de Artes,15,0,Quinta,9
41 - Instituto de Artes,15,0,Sexta,9
41 - Instituto de Artes,15,0,Sábado,9
41 - Instituto de Artes,15,0,Domingo,9
41 - Instituto de Artes,15,15,Segunda,5
41 - Instituto de Artes,15,15,Terça,5
41 - Instituto de Artes,15,15,Quarta,5
41 - Instituto de Artes,15,15,Quinta,5
41 - Instituto de Artes,15,15,Sexta,5
41 - Instituto de Artes,15,15,Sábado,5
41 - Instituto de Artes,15,15,Domingo,5
41 - Instituto de Artes,15,30,Segunda,2
41 - Instituto de Artes,15,30,Terça,2
41 - Instituto de Artes,15,30,Quarta,2
41 - Instituto de Artes,15,30,Quinta,2
41 - Instituto de Artes,15,30,Sexta,2
41 - Instituto de Artes,15,30,Sábado,2
41 - Instituto de Artes,15,30,Domingo,2
41 - Instituto de Artes,15,45,Segunda,2
41 - Instituto de Artes,15,45,Terça,2
41 - Instituto de Artes,15,45,Quarta,2
41 - Instituto de Artes,15,45,Quinta,2
41 - Instituto de Artes,15,45,Sexta,2
41 - Instituto de Artes,15,45,Sábado,2
41 - Instituto de Artes,15,45,Domingo,2
41 - Instituto de Artes,16,0,Segunda,9
41 - Instituto de Artes,16,0,Terça,9
41 - Instituto de Artes,16,0,Quarta,9
41 - Instituto de Artes,16,0,Quinta,9
41 - Instituto de Artes,16,0,Sexta,9
41 - Instituto de Artes,16,0,Sábado,9
41 - Instituto de Artes,16,0,Domingo,9
41 - Instituto de Artes,16,15,Segunda,5
41 - Instituto de Artes,16,15,Terça,5
41 - Instituto de Artes,16,15,Quarta,5
41 - Instituto de Artes,16,15,Quinta,5
41 - Instituto de Artes,16,15,Sexta,5
41 - Instituto de Artes,16,15,Sábado,5
41 - Instituto de Artes,16,15,Domingo,5
41 - Instituto de Artes,16,30,Segunda,2
41 - Instituto de Artes,16,30,Terça,2
41 - Instituto de Artes,16,30,Quarta,2
41 - Instituto de Artes,16,30,Quinta,2
41 - Instituto de Artes,16,30,Sexta,2
41 - Instituto de Artes,16,30,Sábado,2
41 - Instituto de Artes,16,30,Domingo,2
41 - Instituto de Artes,16,45,Segunda,2
41 - Instituto de Artes,16,45,Terça,2
41 - Instituto de Artes,16,45,Quarta,2
41 - Instituto de Artes,16,45,Quinta,2
41 - Instituto de Artes,16,45,Sexta,2
41 - Instituto de Artes,16,45,Sábado,2
41 - Instituto de Artes,16,45,Domingo,2
41 - Instituto de Artes,17,0,Segunda,9
41 - Instituto de Artes,17,0,Terça,9
41 - Instituto de Artes,17,0,Quarta,9
41 - Instituto de Artes,17,0,Quinta,9
41 - Instituto de Artes,17,0,Sexta,9
41 - Instituto de Artes,17,0,Sábado,9
41 - Instituto de Artes,17,0,Domingo,9
41 - Instituto de Artes,17,15,Segunda,5
41 - Instituto de Artes,17,15,Terça,5
41 - Instituto de Artes,17,15,Quarta,5
41 - Instituto de Artes,17,15,Quinta,5
41 - Instituto de Artes,17,15,Sexta,5
41 - Instituto de Artes,17,15,Sábado,5
41 - Instituto de Artes,17,15,Domingo,5
41 - Instituto de Artes,17,30,Segunda,2
41 - Instituto de Artes,17,30,Terça,2
41 - Instituto de Artes,17,30,Quarta,2
41 - Instituto de Artes,17,30,Quinta,2
41 - Instituto de Artes,17,30,Sexta,2
41 - Instituto de Artes,17,30,Sábado,2
41 - Instituto de Artes,17,30,Domingo,2
41 - Instituto de Artes,17,45,Segunda,2
41 - Instituto de Artes,17,45,Terça,2
41 - Instituto de Artes,17,45,Quarta,2
41 - Instituto de Artes,17,45,Quinta,2
41 - Instituto de Artes,17,45,Sexta,2
41 - Instituto de Artes,17,45,Sábado,2
41 - Instituto de Artes,17,45,Domingo,2
41 - Instituto de Artes,18,0,Segunda,9
41 - Instituto de Artes,18,0,Terça,9
41 - Instituto de Artes,18,0,Quarta,9
41 - Instituto de Artes,18,0,Quinta,9
41 - Instituto de Artes,18,0,Sexta,9
41 - Instituto de Artes,18,0,Sábado,9
41 - Instituto de Artes,18,0,Domingo,9
41 - Instituto de Artes,18,15,Segunda,5
41 - Instituto de Artes,18,15,Terça,5
41 - Instituto de Artes,18,15,Quarta,5
41 - Instituto de Artes,18,15,Quinta,5
41 - Instituto de Artes,18,15,Sexta,5
41 - Instituto de Artes,18,15,Sábado,5
41 - Instituto de Artes,18,15,Domingo,5
41 - Instituto de Artes,18,30,Segunda,2
41 - Instituto de Artes,18,30,Terça,2
41 - Instituto de Artes,18,30,Quarta,2
41 - Instituto de Artes,18,30,Quinta,2
41 - Instituto de Artes,18,30,Sexta,2
41 - Instituto de Artes,18,30,Sábado,2
41 - Instituto de Artes,18,30,Domingo,2
41 - Instituto de Artes,18,45,Segunda,2
41 - Instituto de Artes,18,45,Terça,2
41 - Instituto de Artes,18,45,Quarta,2
41 - Instituto de Artes,18,45,Quinta,2
41 - Instituto de Artes,18,45,Sexta,2
41 - Instituto de Artes,18,45,Sábado,2
41 - Instituto de Artes,18,45,Domingo,2
41 - Instituto de Artes,19,0,Segunda,9
41 - Instituto de Artes,19,0,Terça,9
41 - Instituto de Artes,19,0,Quarta,9
41 - Instituto de Artes,19,0,Quinta,9
41 - Instituto de Artes,19,0,Sexta,9
41 - Instituto de Artes,19,0,Sábado,9
41 - Instituto de Artes,19,0,Domingo,9
41 - Instituto de Artes,19,15,Segunda,5
41 - Instituto de Artes,19,15,Terça,5
41 - Instituto de Artes,19,15,Quarta,5
41 - Instituto de Artes,19,15,Quinta,5
41 - Instituto de Artes,19,15,Sexta,5
41 - Instituto de Artes,19,15,Sábado,5
41 - Instituto de Artes,19,15,Domingo,5
41 - Instituto de Artes,19,30,Segunda,2
41 - Instituto de Artes,19,30,Terça,2
41 - Instituto de Artes,19,30,Quarta,2
41 - Instituto de Artes,19,30,Quinta,2
41 - Instituto de Artes,19,30,Sexta,2
41 - Instituto de Artes,19,30,Sábado,2
41 - Instituto de Artes,19,30,Domingo,2
41 - Instituto de Artes,19,45,Segunda,2
41 - Instituto de Artes,19,45,Terça,2
41 - Instituto de Artes,19,45,Quarta,2
41 - Instituto de Artes,19,45,Quinta,2
41 - Instituto de Artes,19,45,Sexta,2
41 - Instituto de Artes,19,45,Sábado,2
41 - Instituto de Artes,19,45,Domingo,2
41 - Instituto de Artes,20,0,Segunda,9
41 - Instituto de Artes,20,0,Terça,9
41 - Instituto de Artes,20,0,Quarta,9
41 - Instituto de Artes,20,0,Quinta,9
41 - Instituto de Artes,20,0,Sexta,9
41 - Instituto de Artes,20,0,Sábado,9
41 - Instituto de Artes,20,0,Domingo,9
41 - Instituto de Artes,20,15,Segunda,5
41 - Instituto de Artes,20,15,Terça,5
41 - Instituto de Artes,20,15,Quarta,5
41 - Instituto de Artes,20,15,Quinta,5
41 - Instituto de Artes,20,15,Sexta,5
41 - Instituto de Artes,20,15,Sábado,5
41 - Instituto de Artes,20,15,Domingo,5
41 - Instituto de Artes,20,30,Segunda,2
41 - Instituto de Artes,20,30,Terça,2
41 - Instituto de Artes,20,30,Quarta,2
41 - Instituto de Artes,20,30,Quinta,2
41 - Instituto de Artes,20,30,Sexta,2
41 - Instituto de Artes,20,30,Sábado,2
41 - Instituto de Artes,20,30,Domingo,2
41 - Instituto de Artes,20,45,Segunda,2
41 - Instituto de Artes,20,45,Terça,2
41 - Instituto de Artes,20,45,Quarta,2
41 - Instituto de Artes,20,45,Quinta,2
41 - Instituto de Artes,20,45,Sexta,2
41 - Instituto de Artes,20,45,Sábado,2
41 - Instituto de Artes,20,45,Domingo,2
41 - Instituto de Artes,21,0,Segunda,9
41 - Instituto de Artes,21,0,Terça,9
41 - Instituto de Artes,21,0,Quarta,9
41 - Instituto de Artes,21,0,Quinta,9
41 - Instituto de Artes,21,0,Sexta,9
41 - Instituto de Artes,21,0,Sábado,9
41 - Instituto de Artes,21,0,Domingo,9
41 - Instituto de Artes,21,15,Segunda,5
41 - Instituto de Artes,21,15,Terça,5
41 - Instituto de Artes,21,15,Quarta,5
41 - Instituto de Artes,21,15,Quinta,5
41 - Instituto de Artes,21,15,Sexta,5
